cohort_week,cohort_size,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12
2026-01-01 ~ 2026-01-07,18714,100,21.39,16.28,13.08,9.19,4.87,2.67,3.29,null,null,null,null,null
2026-01-08 ~ 2026-01-14,21825,100,24.46,15.84,9.46,4.89,2.25,2.71,null,null,null,null,null,null
2026-01-15 ~ 2026-01-21,25221,100,22.49,10.86,4.78,2.28,2.64,null,null,null,null,null,null,null
2026-01-22 ~ 2026-01-28,25165,100,16.61,5.4,2.4,3.12,null,null,null,null,null,null,null,null
2026-01-29 ~ 2026-02-04,17745,100,10.96,3.83,3.92,null,null,null,null,null,null,null,null,null
2026-02-05 ~ 2026-02-11,10211,100,9.38,7.35,null,null,null,null,null,null,null,null,null,null
2026-02-12 ~ 2026-02-18,4751,100,14.35,null,null,null,null,null,null,null,null,null,null,null
2026-02-19 ~ 2026-02-25,6579,100,null,null,null,null,null,null,null,null,null,null,null,null
